condition,category,direction,alpha,label,on_target,n_pairs,mean_baseline,mean_steered,shift,cohen_d,wilcoxon_stat,p_raw,p_bonf,significant_005
HYPO_pos_0.5,HYPO,pos,0.5,ORIENT,False,40,0.01855043425641561,0.012459876103662804,-0.006090558152752801,-0.2767416503158648,224.0,0.020529367233118944,,False
HYPO_pos_0.5,HYPO,pos,0.5,DESCRIBE,False,40,0.12017275708819927,0.09205488576561507,-0.028117871322584198,-0.16416650907911412,402.0,0.9205922683031531,,False
HYPO_pos_0.5,HYPO,pos,0.5,SYNTHESIZE,False,40,0.020701320838769598,0.01878078352611286,-0.0019205373126567394,-0.04032222199186721,300.5,0.8122677126592173,,False
HYPO_pos_0.5,HYPO,pos,0.5,HYPO,True,40,0.1394172935506663,0.1595675267062054,0.020150233155539102,0.3151184528062679,306.0,0.16589964473860164,1.0,False
HYPO_pos_0.5,HYPO,pos,0.5,TEST,False,40,0.5393414186480165,0.5375036951024356,-0.0018377235455810021,-0.009991331395718828,360.0,0.5099141109240009,,False
HYPO_pos_0.5,HYPO,pos,0.5,JUDGE,False,40,0.09112046046668851,0.09211141614119808,0.0009909556745095732,0.01816686728977167,388.0,0.7749952346202917,,False
HYPO_pos_0.5,HYPO,pos,0.5,PLAN,False,40,0.04151262582401535,0.04977911524015026,0.008266489416134903,0.21800851788174622,364.0,0.5448004511072213,,False
HYPO_pos_0.5,HYPO,pos,0.5,MONITOR,False,40,0.02194271932550454,0.0332937498001395,0.011351030474634958,0.5044582465842518,186.0,0.0044158381980095845,,False
HYPO_pos_0.5,HYPO,pos,0.5,RULE,False,40,0.007240970001723958,0.004448951614480128,-0.00279201838724383,-0.2724900855157426,126.0,0.07953343933418376,,False
HYPO_pos_1.0,HYPO,pos,1.0,ORIENT,False,40,0.01855043425641561,0.009005924256746595,-0.009544509999669014,-0.5449120721638373,171.0,0.0009411722930963151,,False
HYPO_pos_1.0,HYPO,pos,1.0,DESCRIBE,False,40,0.12017275708819927,0.07515809279201746,-0.045014664296181825,-0.3225388488500669,280.0,0.08171383123044507,,False
HYPO_pos_1.0,HYPO,pos,1.0,SYNTHESIZE,False,40,0.020701320838769598,0.006583630663633352,-0.01411769017513625,-0.3885963879441258,152.0,0.036234932920660115,,False
HYPO_pos_1.0,HYPO,pos,1.0,HYPO,True,40,0.1394172935506663,0.21106548177151385,0.07164818822084759,0.7005611753712012,121.0,4.098819044884294e-05,0.0008197638089768589,True
HYPO_pos_1.0,HYPO,pos,1.0,TEST,False,40,0.5393414186480165,0.4752016934745259,-0.06413972517349067,-0.41685262243862176,218.0,0.00899504264089046,,False
HYPO_pos_1.0,HYPO,pos,1.0,JUDGE,False,40,0.09112046046668851,0.13501270306681254,0.043892242600124046,0.6183512669292178,134.0,0.00010100967301696073,,False
HYPO_pos_1.0,HYPO,pos,1.0,PLAN,False,40,0.04151262582401535,0.038789815048545465,-0.0027228107754698927,-0.0920984657047771,355.0,0.4679718594561564,,False
HYPO_pos_1.0,HYPO,pos,1.0,MONITOR,False,40,0.02194271932550454,0.0436031592720688,0.021660439946564258,0.5909599637739165,148.0,0.00024816789118631277,,False
HYPO_pos_1.0,HYPO,pos,1.0,RULE,False,40,0.007240970001723958,0.005579499654135725,-0.001661470347588233,-0.0885917998010678,132.0,0.10592770823298073,,False
HYPO_neg_0.5,HYPO,neg,0.5,ORIENT,False,40,0.01855043425641561,0.013737545443740529,-0.004812888812675079,-0.22390789536534475,313.0,0.19685455255421402,,False
HYPO_neg_0.5,HYPO,neg,0.5,DESCRIBE,False,40,0.12017275708819927,0.13586555889099436,0.01569280180279509,0.07268756273562496,348.0,0.4125340336249792,,False
HYPO_neg_0.5,HYPO,neg,0.5,SYNTHESIZE,False,40,0.020701320838769598,0.03204081281703109,0.01133949197826149,0.12968939538819488,280.0,0.28073511825954933,,False
HYPO_neg_0.5,HYPO,neg,0.5,HYPO,True,40,0.1394172935506663,0.13456895209326233,-0.004848341457403933,-0.05392881719667255,386.0,0.7546940826050559,1.0,False
HYPO_neg_0.5,HYPO,neg,0.5,TEST,False,40,0.5393414186480165,0.4982433859482057,-0.041098032699810765,-0.20660654148387408,276.0,0.07250633211879176,,False
HYPO_neg_0.5,HYPO,neg,0.5,JUDGE,False,40,0.09112046046668851,0.08729362391222857,-0.003826836554459956,-0.06117568725791244,363.0,0.5359713830403052,,False
HYPO_neg_0.5,HYPO,neg,0.5,PLAN,False,40,0.04151262582401535,0.053900666692405695,0.012388040868390345,0.24121608345823187,376.0,0.6558992899281293,,False
HYPO_neg_0.5,HYPO,neg,0.5,MONITOR,False,40,0.02194271932550454,0.03529508996670807,0.013352370641203534,0.34787926892740084,275.0,0.07033917775879672,,False
HYPO_neg_0.5,HYPO,neg,0.5,RULE,False,40,0.007240970001723958,0.009054364235423223,0.0018133942336992647,0.10922282045693986,233.0,0.5621391110725872,,False
HYPO_neg_1.0,HYPO,neg,1.0,ORIENT,False,40,0.01855043425641561,0.014763803230350453,-0.0037866310260651543,-0.19455000397236377,369.0,0.589975534387122,,False
HYPO_neg_1.0,HYPO,neg,1.0,DESCRIBE,False,40,0.12017275708819927,0.09475122049470733,-0.025421536593491945,-0.14153797148543068,376.0,0.6558992899281293,,False
HYPO_neg_1.0,HYPO,neg,1.0,SYNTHESIZE,False,40,0.020701320838769598,0.008506662457849364,-0.012194658380920235,-0.3226059452354893,200.0,0.0596189066411146,,False
HYPO_neg_1.0,HYPO,neg,1.0,HYPO,True,40,0.1394172935506663,0.164227068474443,0.024809774923776735,0.3082622191954174,290.0,0.10879914976976579,1.0,False
HYPO_neg_1.0,HYPO,neg,1.0,TEST,False,40,0.5393414186480165,0.4996609883432481,-0.03968043030476848,-0.2244359124874066,265.0,0.051399685278738616,,False
HYPO_neg_1.0,HYPO,neg,1.0,JUDGE,False,40,0.09112046046668851,0.1126595363013592,0.021539075834670695,0.3610112925144274,254.0,0.03560432962331106,,False
HYPO_neg_1.0,HYPO,neg,1.0,PLAN,False,40,0.04151262582401535,0.05965969639647262,0.018147070572457263,0.4557989228527515,223.0,0.011074391617512447,,False
HYPO_neg_1.0,HYPO,neg,1.0,MONITOR,False,40,0.02194271932550454,0.03526987720739088,0.013327157881886343,0.41010187864395053,261.0,0.0450981847334333,,False
HYPO_neg_1.0,HYPO,neg,1.0,RULE,False,40,0.007240970001723958,0.010501147094178738,0.0032601770924547803,0.16680469639874035,187.0,0.7156020623007808,,False
TEST_pos_0.5,TEST,pos,0.5,ORIENT,False,40,0.01855043425641561,0.013889078287798201,-0.004661355968617405,-0.22323387730235886,344.0,0.3826448613508546,,False
TEST_pos_0.5,TEST,pos,0.5,DESCRIBE,False,40,0.12017275708819927,0.11033732141646853,-0.009835435671730747,-0.04964506620262913,394.0,0.8367550107286661,,False
TEST_pos_0.5,TEST,pos,0.5,SYNTHESIZE,False,40,0.020701320838769598,0.023385257791587323,0.0026839369528177197,0.04494271288629042,240.0,0.653594295813201,,False
TEST_pos_0.5,TEST,pos,0.5,HYPO,False,40,0.1394172935506663,0.14536858511496126,0.005951291564294988,0.07514017963529222,390.0,0.7954479165618977,,False
TEST_pos_0.5,TEST,pos,0.5,TEST,True,40,0.5393414186480165,0.5344517826936268,-0.004889635954389871,-0.023520207165968133,394.0,0.8367550107286661,1.0,False
TEST_pos_0.5,TEST,pos,0.5,JUDGE,False,40,0.09112046046668851,0.08700542519050822,-0.004115035276180298,-0.08981546720672211,358.0,0.49291002014433616,,False
TEST_pos_0.5,TEST,pos,0.5,PLAN,False,40,0.04151262582401535,0.04474458491880694,0.0032319590947915825,0.08329476458122573,410.0,1.0,,False
TEST_pos_0.5,TEST,pos,0.5,MONITOR,False,40,0.02194271932550454,0.033164583480792396,0.011221864155287857,0.3953403096970757,219.0,0.017018646601114806,,False
TEST_pos_0.5,TEST,pos,0.5,RULE,False,40,0.007240970001723958,0.007653381105450091,0.00041241110372613294,0.02606266273751373,228.0,0.9262550873076122,,False
TEST_pos_1.0,TEST,pos,1.0,ORIENT,False,40,0.01855043425641561,0.010881705459687158,-0.007668728796728447,-0.4842490038773636,133.0,9.446514923183713e-05,,False
TEST_pos_1.0,TEST,pos,1.0,DESCRIBE,False,40,0.12017275708819927,0.08332961074857988,-0.03684314633961941,-0.21135414983138184,303.0,0.1537894909415627,,False
TEST_pos_1.0,TEST,pos,1.0,SYNTHESIZE,False,40,0.020701320838769598,0.009978765554999863,-0.010722555283769737,-0.29670554369923247,193.0,0.07399917458095058,,False
TEST_pos_1.0,TEST,pos,1.0,HYPO,False,40,0.1394172935506663,0.1520060551027976,0.01258876155213133,0.18956409244042222,339.0,0.34716529149409325,,False
TEST_pos_1.0,TEST,pos,1.0,TEST,True,40,0.5393414186480165,0.5914040781154746,0.05206265946745797,0.3040321236670384,251.0,0.03207873742940137,0.6415747485880274,False
TEST_pos_1.0,TEST,pos,1.0,JUDGE,False,40,0.09112046046668851,0.09511188444657008,0.003991423979881568,0.08861273872226595,393.0,0.826382224491681,,False
TEST_pos_1.0,TEST,pos,1.0,PLAN,False,40,0.04151262582401535,0.0268122208660841,-0.014700404957931252,-0.648972602803233,144.0,0.0005970973617562248,,False
TEST_pos_1.0,TEST,pos,1.0,MONITOR,False,40,0.02194271932550454,0.026496105981757456,0.004553386656252918,0.19843130513550788,301.0,0.21423847520737893,,False
TEST_pos_1.0,TEST,pos,1.0,RULE,False,40,0.007240970001723958,0.003979573724049033,-0.0032613962776749245,-0.29795346166104647,109.0,0.09121299414293242,,False
TEST_neg_0.5,TEST,neg,0.5,ORIENT,False,40,0.01855043425641561,0.013595677064264488,-0.004954757192151119,-0.2682810757629771,304.0,0.1577509693797765,,False
TEST_neg_0.5,TEST,neg,0.5,DESCRIBE,False,40,0.12017275708819927,0.10300607247188949,-0.01716668461630979,-0.10115683592520451,385.0,0.7446043581785489,,False
TEST_neg_0.5,TEST,neg,0.5,SYNTHESIZE,False,40,0.020701320838769598,0.01064160142289922,-0.01005971941587038,-0.24127710334928237,217.0,0.1084594752985515,,False
TEST_neg_0.5,TEST,neg,0.5,HYPO,False,40,0.1394172935506663,0.16569205915355295,0.026274765602886708,0.31876306724244413,307.0,0.17008811905543553,,False
TEST_neg_0.5,TEST,neg,0.5,TEST,True,40,0.5393414186480165,0.5226370326394226,-0.016704386008593957,-0.10158945119762366,338.0,0.34032321635640983,1.0,False
TEST_neg_0.5,TEST,neg,0.5,JUDGE,False,40,0.09112046046668851,0.0757226190281263,-0.01539784143856222,-0.29186820879684905,279.0,0.07932943338346377,,False
TEST_neg_0.5,TEST,neg,0.5,PLAN,False,40,0.04151262582401535,0.058364995957034815,0.01685237013301947,0.5233568166894241,182.0,0.0016823487039800966,,False
TEST_neg_0.5,TEST,neg,0.5,MONITOR,False,40,0.02194271932550454,0.044523294236503155,0.022580574910998612,0.5806721856881389,143.0,0.0005670909974086868,,False
TEST_neg_0.5,TEST,neg,0.5,RULE,False,40,0.007240970001723958,0.005816648026306633,-0.001424321975417325,-0.10274645625349517,189.5,0.2516191774545261,,False
TEST_neg_1.0,TEST,neg,1.0,ORIENT,False,40,0.01855043425641561,0.015012714611873187,-0.00353771964454242,-0.18119161815901516,331.0,0.2948169606661395,,False
TEST_neg_1.0,TEST,neg,1.0,DESCRIBE,False,40,0.12017275708819927,0.07834685359620984,-0.04182590349198945,-0.257596107227812,305.0,0.1617874718067469,,False
TEST_neg_1.0,TEST,neg,1.0,SYNTHESIZE,False,40,0.020701320838769598,0.013829507886781228,-0.006871812951988373,-0.21342085234662025,220.0,0.2796954840975078,,False
TEST_neg_1.0,TEST,neg,1.0,HYPO,False,40,0.1394172935506663,0.21616453208869296,0.0767472385380267,0.7076166123673953,129.0,7.198017374321353e-05,,False
TEST_neg_1.0,TEST,neg,1.0,TEST,True,40,0.5393414186480165,0.45374760689858695,-0.08559381174942972,-0.5400731012231983,175.0,0.0011671793090499705,0.02334358618099941,True
TEST_neg_1.0,TEST,neg,1.0,JUDGE,False,40,0.09112046046668851,0.1066684610275157,0.01554800056082718,0.23050901381017147,313.0,0.19685455255421402,,False
TEST_neg_1.0,TEST,neg,1.0,PLAN,False,40,0.04151262582401535,0.07147541974134419,0.029962793917328846,0.7708571393976592,115.0,2.639073136379011e-05,,False
TEST_neg_1.0,TEST,neg,1.0,MONITOR,False,40,0.02194271932550454,0.0349538603867573,0.013011141061252762,0.4370961860671548,223.0,0.011074391617512447,,False
TEST_neg_1.0,TEST,neg,1.0,RULE,False,40,0.007240970001723958,0.009801043762238412,0.0025600737605144543,0.12383894425986328,187.0,0.7156020623007808,,False
JUDGE_pos_0.5,JUDGE,pos,0.5,ORIENT,False,40,0.01855043425641561,0.009721958003683268,-0.00882847625273234,-0.4420179993600713,150.0,0.00028057557574356906,,False
JUDGE_pos_0.5,JUDGE,pos,0.5,DESCRIBE,False,40,0.12017275708819927,0.10447950292386024,-0.015693254164339032,-0.08483117107988154,398.0,0.8785070700851065,,False
JUDGE_pos_0.5,JUDGE,pos,0.5,SYNTHESIZE,False,40,0.020701320838769598,0.013101078751250753,-0.0076002420875188464,-0.18981985358236678,217.0,0.543523855518597,,False
JUDGE_pos_0.5,JUDGE,pos,0.5,HYPO,False,40,0.1394172935506663,0.15278783960575498,0.013370546055088727,0.19287511263553966,311.0,0.18761708125202858,,False
JUDGE_pos_0.5,JUDGE,pos,0.5,TEST,False,40,0.5393414186480165,0.5235194993713643,-0.015821919276652274,-0.08156986604267574,340.0,0.35409228332900966,,False
JUDGE_pos_0.5,JUDGE,pos,0.5,JUDGE,True,40,0.09112046046668851,0.0951781777403113,0.0040577172736227865,0.07633418535660999,384.0,0.7345573100628826,1.0,False
JUDGE_pos_0.5,JUDGE,pos,0.5,PLAN,False,40,0.04151262582401535,0.061121356169797726,0.019608730345782373,0.5367605063584031,201.0,0.004244452147759148,,False
JUDGE_pos_0.5,JUDGE,pos,0.5,MONITOR,False,40,0.02194271932550454,0.03429529061374712,0.01235257128824258,0.44515671957685626,225.0,0.021302786454192136,,False
JUDGE_pos_0.5,JUDGE,pos,0.5,RULE,False,40,0.007240970001723958,0.0057952968202299605,-0.001445673181493997,-0.09390221809599279,176.0,0.24519030932096386,,False
JUDGE_pos_1.0,JUDGE,pos,1.0,ORIENT,False,40,0.01855043425641561,0.010011208652741117,-0.008539225603674488,-0.506502120518464,168.0,0.0007984068197401939,,False
JUDGE_pos_1.0,JUDGE,pos,1.0,DESCRIBE,False,40,0.12017275708819927,0.06358179072009476,-0.056590966368104526,-0.3815172000361396,214.0,0.00758486291852023,,False
JUDGE_pos_1.0,JUDGE,pos,1.0,SYNTHESIZE,False,40,0.020701320838769598,0.006741989871009446,-0.013959330967760156,-0.4246172452795077,96.0,0.004986953184408567,,False
JUDGE_pos_1.0,JUDGE,pos,1.0,HYPO,False,40,0.1394172935506663,0.1447716213154112,0.005354327764744949,0.08118887335132789,391.0,0.8057269839482615,,False
JUDGE_pos_1.0,JUDGE,pos,1.0,TEST,False,40,0.5393414186480165,0.5414816067334682,0.0021401880854516955,0.013271248681089382,402.0,0.9205922683031531,,False
JUDGE_pos_1.0,JUDGE,pos,1.0,JUDGE,True,40,0.09112046046668851,0.11229544513519296,0.021174984668504433,0.34877569128918445,267.0,0.05481029127986403,1.0,False
JUDGE_pos_1.0,JUDGE,pos,1.0,PLAN,False,40,0.04151262582401535,0.0631249480900381,0.021612322266022742,0.5068402983668454,192.0,0.002770629538645153,,False
JUDGE_pos_1.0,JUDGE,pos,1.0,MONITOR,False,40,0.02194271932550454,0.04529787174620815,0.023355152420703608,0.348440513323131,203.0,0.004653470972698415,,False
JUDGE_pos_1.0,JUDGE,pos,1.0,RULE,False,40,0.007240970001723958,0.012693517735835705,0.005452547734111748,0.25991109108586213,158.0,0.1982405546429553,,False
JUDGE_neg_0.5,JUDGE,neg,0.5,ORIENT,False,40,0.01855043425641561,0.017100504593179154,-0.001449929663236452,-0.0656633507337473,357.0,0.48452077669571736,,False
JUDGE_neg_0.5,JUDGE,neg,0.5,DESCRIBE,False,40,0.12017275708819927,0.09406629693118873,-0.02610646015701056,-0.14429660691099314,365.0,0.5536995567435952,,False
JUDGE_neg_0.5,JUDGE,neg,0.5,SYNTHESIZE,False,40,0.020701320838769598,0.018380540685424225,-0.0023207801533453773,-0.06147938746799229,327.0,0.9248998836043245,,False
JUDGE_neg_0.5,JUDGE,neg,0.5,HYPO,False,40,0.1394172935506663,0.13926042815029188,-0.00015686540037438134,-0.0020461763580843606,338.0,0.34032321635640983,,False
